Ball_Type,Ball_Name,Ball_Size,Size_Label,Condition,Mass_kg,Velocity_m_s,Energy_J,Peak_Pressure_kPa,PPSI90_Duration_ms
C1,Machine Stitched,3,Size 3 (U10),Wet,0.3533,18,57.23,4.682,0.2055
C1,Machine Stitched,3,Size 3 (U10),Wet,0.3533,23,93.45,7.644,0.3355
C1,Machine Stitched,3,Size 3 (U10),Wet,0.3533,28,138.49,11.329,0.4972
C1,Machine Stitched,3,Size 3 (U10),Wet,0.3533,35,216.39,17.701,0.7768
C1,Machine Stitched,4,Size 4 (U14),Dry,0.3846,10,19.23,1.573,0.069
C1,Machine Stitched,4,Size 4 (U14),Dry,0.3846,14,37.69,3.083,0.1353
C1,Machine Stitched,4,Size 4 (U14),Dry,0.3846,18,62.3,5.096,0.2237
C1,Machine Stitched,4,Size 4 (U14),Dry,0.3846,23,101.72,8.321,0.3652
C1,Machine Stitched,4,Size 4 (U14),Dry,0.3846,28,150.75,12.331,0.5412
C1,Machine Stitched,4,Size 4 (U14),Dry,0.3846,35,235.55,19.268,0.8456
C1,Machine Stitched,4,Size 4 (U14),Damp,0.3961,10,19.81,1.62,0.0711
C1,Machine Stitched,4,Size 4 (U14),Damp,0.3961,14,38.82,3.175,0.1394
C1,Machine Stitched,4,Size 4 (U14),Damp,0.3961,18,64.17,5.249,0.2304
C1,Machine Stitched,4,Size 4 (U14),Damp,0.3961,23,104.77,8.57,0.3761
C1,Machine Stitched,4,Size 4 (U14),Damp,0.3961,28,155.27,12.701,0.5574
C1,Machine Stitched,4,Size 4 (U14),Damp,0.3961,35,242.62,19.846,0.871
C1,Machine Stitched,4,Size 4 (U14),Wet,0.4076,10,20.38,1.667,0.0732
C1,Machine Stitched,4,Size 4 (U14),Wet,0.4076,14,39.95,3.268,0.1434
C1,Machine Stitched,4,Size 4 (U14),Wet,0.4076,18,66.04,5.402,0.2371
C1,Machine Stitched,4,Size 4 (U14),Wet,0.4076,23,107.82,8.82,0.3871
C1,Machine Stitched,4,Size 4 (U14),Wet,0.4076,28,159.8,13.071,0.5737
C1,Machine Stitched,4,Size 4 (U14),Wet,0.4076,35,249.68,20.424,0.8964
C1,Machine Stitched,5,Size 5 (Elite),Dry,0.4273,10,21.36,1.748,0.0767
C1,Machine Stitched,5,Size 5 (Elite),Dry,0.4273,14,41.88,3.425,0.1503
C1,Machine Stitched,5,Size 5 (Elite),Dry,0.4273,18,69.22,5.662,0.2485
C1,Machine Stitched,5,Size 5 (Elite),Dry,0.4273,23,113.02,9.245,0.4057
C1,Machine Stitched,5,Size 5 (Elite),Dry,0.4273,28,167.5,13.702,0.6013
C1,Machine Stitched,5,Size 5 (Elite),Dry,0.4273,35,261.72,21.409,0.9396
